a	1	啊
ba	1	巴
pa	2	爬
ma	3	馬
fa	3	法
da	3	打
ta	3	塔
na	4	那
la	1	拉
za	1	匝
ca	1	擦
sa	4	卅
zha	1	扎
cha	4	茶
sha	1	沙
ga	1	伽
ka	3	卡
ha	1	哈
ai	4	愛
bai	2	白
pai	1	拍
mai	3	買
dai	4	待
tai	2	臺
nai	3	奶
lai	2	來
zai	4	再
cai	2	才
sai	1	腮
zhai	3	窄
chai	1	拆
shai	1	篩
gai	3	改
kai	1	開
hai	3	海
ao	1	凹
bao	1	包
pao	4	泡
mao	2	矛
dao	1	刀
tao	3	討
nao	3	腦
lao	3	老
zao	3	早
cao	3	草
sao	1	搔
zhao	4	召
chao	1	抄
shao	3	少
rao	4	繞
gao	1	高
kao	3	考
hao	3	好
an	1	安
ban	4	半
pan	4	盼
man	4	曼
fan	3	反
dan	4	蛋
tan	2	談
nan	2	男
lan	2	攔
zan	4	暫
can	1	參
san	3	傘
zhan	4	站
chan	3	產
shan	1	山
ran	3	染
gan	1	杆
kan	3	砍
han	4	汗
ang	2	昂
bang	1	幫
pang	4	胖
mang	2	忙
fang	1	方
dang	1	當
tang	1	湯
nang	2	囊
lang	2	狼
zang	1	髒
cang	1	倉
sang	3	嗓
zhang	3	長
chang	4	唱
shang	4	上
rang	3	嚷
gang	3	港
kang	4	抗
hang	2	航
o	1	喔
bo	2	脖
po	4	破
mo	1	摸
fo	2	佛
dong	1	冬
tong	3	桶
nong	2	農
long	2	龍
zong	3	總
cong	2	從
song	4	送
zhong	4	重
chong	2	蟲
rong	2	容
gong	1	攻
kong	3	孔
hong	2	虹
ou	1	歐
pou	1	剖
mou	3	某
fou	3	否
dou	4	豆
tou	2	頭
nou	4	耨
lou	4	漏
zou	3	走
cou	4	湊
sou	4	嗽
zhou	1	洲
chou	4	臭
shou	3	手
rou	4	肉
gou	3	狗
kou	3	口
hou	2	猴
e	2	鵝
de	2	德
te	4	特
ne	5	呢
le	4	樂
ze	2	責
ce	4	廁
se	4	色
zhe	2	哲
che	1	車
she	2	舌
re	4	熱
ge	1	鴿
ke	4	課
he	1	喝
bei	1	杯
pei	2	陪
mei	2	煤
fei	1	飛
dei	3	得
nei	4	內
lei	2	雷
zei	2	賊
zhei	4	這
shei	2	誰
gei	3	給
kei	1	剋
hei	1	黑
en	1	恩
ben	4	笨
pen	2	盆
men	2	門
fen	1	分
nen	4	嫩
zen	3	怎
cen	2	岑
sen	1	森
zhen	1	真
chen	2	沉
shen	1	身
ren	2	人
gen	1	根
ken	3	肯
hen	4	恨
beng	1	崩
peng	2	朋
meng	4	夢
feng	1	風
deng	1	燈
teng	2	疼
neng	2	能
leng	3	冷
zeng	1	增
ceng	2	層
seng	1	僧
zheng	1	爭
cheng	2	城
sheng	1	生
reng	1	扔
geng	4	更
keng	1	坑
heng	1	哼
er	3	耳
yi	1	衣
bi	3	筆
pi	2	啤
mi	4	蜜
di	4	地
ti	1	梯
ni	2	泥
li	4	力
zi	3	子
ci	4	刺
si	3	死
zhi	3	指
chi	1	吃
shi	1	獅
ri	4	日
ji	1	機
