倍	-mal			
拐	abbiegen		Wanderstab	w
岔	abbiegen		abzweigen	a
遮	abblenden			
斷	abbrechen			
禪	abdanken			
罩	abdecken			
套	Abdeckung			
閉	abdichten			
夕	Abenddämmerung		chin. Neujahr	w
暮	Abenddämmerung		Spätfrühling	w
袍	Abendkleid			
晚	abends			
奈	aber		aushalten	a
但	aber		trotzdem	a
垃	Abfall			
槽	Abflussrinne			
詢	abfragen			
輿	Abfuhr			
僻	abgelegen			
捨	abgewöhnen			
崖	Abgrund			
斬	abhacken			
坡	Abhang			
逃	abhauen			
攢	abholen		einsammeln	w
蘊	abholen		lagern	w
依	abhängig sein			
裔	Abkomme		entferntes Land	a
昆	Abkomme		älterer Bruder	a
汰	ablegen			
卸	ablösen			
啃	abnagen			
摘	abpflücken			
乍	abrupt			
剔	abschaben			
擋	abschirmen		blockieren	w
蔽	abschirmen		verbergen	w
截	abschneiden			
部	Abschnitt			
陡	abschüssig		steil	a
峭	abschüssig		Abgrund	w
銷	absetzen			
絕	absolut			
泌	absondern			
沱	abspringen			
妄	absurd		Wunschtraum	w
謬	absurd		lächerlich	w
辭	abtreten		abdanken	w
遜	abtreten		Amazonas	n
歧	abweichend			
拒	abweisen			
衡	abwiegen			
斟	abwägen		Ab	p
酌	abwägen		aB	p
數	abzählen			
啊	ach			
嚄	Ach was!			
瑪	Achat			
軸	Achse			
肩	Achsel			
轄	Achsnagel			
八	acht		normal	d
捌	acht		finanz.	d
肅	achtungsvoll		feierlich	a
恭	achtungsvoll		Glückwunsch	w
加	addieren			
鷹	Adler			
址	Adresse			
猴	Affe			
阿	ah!			
祖	Ahne			
楓	Ahorn			
哎	Ai!		Autsch!	w
唉	Ai!		Oje!	a
欸	Ai!		Hey!	a
戲	Akt			
檔	Akte			
腔	Akzent			
納	akzeptieren			
傻	albern			
愚	Albernheit		Ab	p
蠢	Albernheit		aB	p
鹼	Alkali			
酒	Alkohol		Bar	w
醇	Alkohol		Ethanol	w
喻	Allegorie			
獨	allein			
皆	allesamt			
普	allgemein			
漸	allmählich			
於	als			
宛	als ob		genau wie	a
猶	als ob		Hemmung	w
若	als ob...			
古	alt		Antike	w
老	alt		Lehrer	w
翁	alter Mann			
鋁	Aluminium			
最	am meisten			
晝	am Tage			
滸	am Wasser			
蟻	Ameise			
美	Amerika			
酉	Amphore			
任	Amt			
晾	an der Luft			
曬	an der Sonne trocknen			
軋	an erster Stelle			
壟	an sich reißen			
析	analysieren			
蓄	anbauen			
繫	anbinden			
蛀	anbohren			
煳	anbrennen		Essen	d
祈	Andacht			
而	andererseits			
另	anders			
串	aneinanderreihen			
扇	anfachen			
始	anfangen			
沾	anfeuchten		berühren	a
濡	anfeuchten		tränken	a
籲	anflehen			
附	anfügen			
魁	Anführer			
務	Angelegenheit			
漁	angeln		Fischkutter	w
釣	angeln		Angel	w
妥	angemessen			
配	angleichen			
犯	angreifen			
慮	Angst			
恐	Angst haben			
巴	anhaften			
停	anhalten			
抬	anheben			
疊	anhäufen			
崗	Anhöhe			
恿	animieren			
錨	Anker			
泊	ankern			
狀	Anklage			
到	ankommen			
宣	ankündigen		Propaganda	w
告	ankündigen		Werbung	w
佈	Ankündigung			
卉	Anlagen			
亢	anmaßend			
賃	anmieten			
曼	anmutig			
娜	Anna			
收	annehmen			
咐	anordnen			
栽	anpflanzen			
激	anregen			
紋	anreißen		Fingerabdruck	w
蹟	anreißen		anzeichnen	a
購	anschaffen			
看	anschauen		Buch	f
視	anschauen		Fernsehen	f
瞻	anschauen		mit Respekt ~	w
漲	anschwellen		Aufschwung	w
脹	anschwellen		Inflation	w
臃	anschwellen		fett	w
譽	Ansehen			
引	anspannen			
唆	anspornen			
潑	anspritzen			
瞪	anstarren			
捅	anstubsen			
答	Antwort			
應	antworten			
託	anvertrauen		beauftragen	a
托	anvertrauen		in der Hand halten	a
令	anweisen			
用	anwenden			
廈	Anwesen			
穿	anziehen			
蘋	Apfel			
儀	Apparat			
杏	Aprikose			
工	Arbeit			
當	arbeiten als			
域	Areal			
貧	arm		mangelhaft	a
窮	arm		aufgebraucht	a
胳	Arm		Armbeuge	w
臂	Arm		Oberarm	a
鐲	Armband			
錶	Armbanduhr			
軍	Armee			
驕	arrogant			
樣	Art			
良	artig			
醫	Arzt			
灰	Asche			
亞	Asien			
襄	assistieren		formell	d
輔	assistieren		Nachhilfe	w
枝	Ast			
息	Atem			
擊	Attacke			
攻	attackieren			
的	Attributpartikel			
茄	Aubergine			
也	auch			
馱	auf dem Rücken tragen			
泛	auf dem Wasser treiben			
爾	auf diese Weise			
彷	auf und ab gehen		Ab	p
徨	auf und ab gehen		aB	p
搭	aufbauen			
貯	aufbewahren			
竭	aufbrauchen			
撬	aufbrechen			
蘇	auferstehen			
撈	auffischen			
演	aufführen			
盛	auffüllen			
廢	aufgeben		Ruine	w
棄	aufgeben		wegwerfen	w
困	aufgeschmissen sein			
障	aufhalten		Hindernis	w
弭	aufhalten		entfernen	a
撿	aufheben			
趕	aufholen			
掛	aufhängen		sich anmelden	w
吊	aufhängen		sich erhängen	w
積	aufhäufen			
竅	aufklappend			
澄	aufklären			
伺	auflauern			
潰	auflösen			
攝	aufnehmen			
犧	aufopfern			
監	Aufpasser			
正	aufrecht		jetzt gerade	a
挺	aufrecht		kräftig	w
紉	aufreihen			
摯	aufrichtig		freimütig	w
侃	aufrichtig		liebenswürdig	a
卷	aufrollen			
喊	Aufruf			
喚	aufrufen			
鬨	Aufruhr			
剖	aufschneiden			
解	aufschnüren			
邱	Aufschüttung			
董	Aufsicht führen			
繃	aufspannen			
纏	aufspulen			
跺	aufstampfen			
起	aufstehen			
昇	aufsteigen		ansteigen (Börse)	w
騰	aufsteigen		brodeln	w
設	aufstellen		Ausrüstung	w
駕	aufstellen		Führerschein	w
蹋	aufsuchen			
浮	auftauchen			
劈	aufteilen			
塗	auftragen			
聳	auftürmen			
醒	aufwachen			
憬	aufwecken			
繞	aufwickeln			
燉	aufwärmen			
誌	Aufzeichnung			
養	aufziehen		Nahrung	w
飼	aufziehen		züchten	w
睛	Augapfel			
目	Auge		Radikal	d
眼	Auge		komplett	d
眉	Augenbraue			
眶	Augenhöhle			
瞼	Augenlid			
絨	aus Wolle			
呼	ausatmen			
削	ausbeuten		aB	p
剝	ausbeuten		Ab	p
鋪	ausbreiten			
醞	ausbrüten			
毅	Ausdauer			
延	ausdehnen			
訊	ausfragen			
施	ausführen		Maßnahme	w
履	ausführen		Lebenslauf	w
填	ausfüllen			
資	Ausgaben			
浩	ausgedehnt			
枯	ausgedorrt			
暢	ausgelassen			
佳	ausgezeichnet			
挖	ausgraben		Ab	p
掘	ausgraben		aB	p
持	aushalten		beibehalten	w
耐	aushalten		Geduld	w
熬	aushalten		hartes Leben	d
